codigo,nome,unidade,frequencia,primeiro_valor,ultimo_valor,origem
135,Fundo mútuo de renda fixa - Aplicações em títulos privados,u.m.c. (mil),M,1993-05-31,1995-11-01 00:00:00,Sisbacen PESP300
139,Fundo mútuo de renda fixa - Outras aplicações,u.m.c. (mil),M,1993-05-31,1995-11-01 00:00:00,Sisbacen PESP300
140,Fundo de ações-tradicional - Aplicações em títulos do Tesouro Nacional,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
142,Fundo de ações-tradicional - Aplicações em títulos estaduais e municipais,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
143,Fundo de ações-tradicional - Aplicações em índices de ações,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
144,Fundo de ações-tradicional - Aplicações em ações,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
127,Fundo de comodities - Aplicações em notas promissórias,u.m.c. (mil),M,1992-12-31,1995-11-01 00:00:00,Sisbacen PESP300
103,Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Aquisição de outros bens - Pessoa física - Taxa total,% a.d.,D,1994-07-04,2012-12-31 00:00:00,Sisbacen PESP300
145,Fundo de ações-tradicional - Aplicações em debêntures,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
148,Fundo de ações-tradicional - Outras aplicações,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
149,Fundo de ações-carteira livre - Aplicações em títulos do Tesouro Nacional,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
150,Fundo de ações-carteira livre - Aplicações em títulos do Banco Central,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
151,Fundo de ações-carteira livre - Aplicações em títulos estaduais e municipais,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
152,Fundo de ações-carteira livre - Aplicações em índices de ações,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
153,Fundo de ações-carteira livre - Aplicações em ações,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
138,Fundo mútuo de renda fixa - Aplicações em operações compromissadas,u.m.c. (mil),M,1993-05-31,1995-11-01 00:00:00,Sisbacen PESP300
136,Fundo mútuo de renda fixa - Aplicações em juros do mercado futuro,u.m.c. (mil),M,1993-05-31,1995-11-01 00:00:00,Sisbacen PESP300
154,Fundo de ações-carteira livre - Aplicações em debêntures,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
141,Fundo de ações-tradicional - Aplicações em títulos do Banco Central,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
157,Fundo de ações-carteira livre - Outras aplicações,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
